AttractionName;Park;10:00;10:05;10:10;10:15;10:20;10:25;10:30;10:35;10:40;10:45;10:50;10:55;11:00;11:05;11:10;11:15;11:20;11:25;11:30;11:35;11:40;11:45;11:50;11:55;12:00;12:05;12:10;12:15;12:20;12:25;12:30;12:35;12:40;12:45;12:50;12:55;13:00;13:05;13:10;13:15;13:20;13:25;13:30;13:35;13:40;13:45;13:50;13:55;14:00;14:05;14:10;14:15;14:20;14:25;14:30;14:35;14:40;14:45;14:50;14:55;15:00;15:05;15:10;15:15;15:20;15:25;15:30;15:35;15:40;15:45;15:50;15:55;16:00;16:05;16:10;16:15;16:20;16:25;16:30;16:35;16:40;16:45;16:50;16:55;17:00;17:05;17:10;17:15;17:20;17:25;17:30;17:35;17:40;17:45;17:50;17:55;18:00;18:05;18:10;18:15;18:20;18:25;18:30;18:35;18:40;18:45;18:50;18:55;19:00;19:05;19:10;19:15;19:20;19:25;19:30;19:35;19:40;19:45;19:50;19:55
Attraction1;Park1;17;15;14;15;18;12;17;13;13;11;17;12;24;25;23;18;26;18;24;25;25;24;27;22;19;19;24;24;23;19;22;20;28;29;22;17;33;28;32;33;28;20;29;25;20;27;28;25;31;29;23;22;33;23;35;32;25;32;20;25;29;38;31;40;23;36;26;23;25;26;35;31;21;28;24;21;24;22;21;24;20;30;25;29;38;39;28;30;23;40;32;25;35;42;40;29;30;21;19;24;22;32;26;34;33;21;21;23;25;18;28;29;31;30;31;30;25;27;24;21
Attraction2;Park1;6;6;8;8;6;4;5;4;8;8;5;8;11;8;12;10;8;9;10;8;10;8;9;9;9;8;9;8;9;8;10;12;11;13;8;11;15;10;9;13;14;12;12;11;13;11;9;8;10;15;13;13;15;15;13;15;11;8;12;13;10;13;10;14;17;11;12;10;12;18;15;18;13;9;15;13;10;14;11;13;12;14;13;12;14;17;13;19;19;11;12;15;16;14;14;16;13;10;15;11;13;14;14;11;9;12;15;9;12;9;14;9;10;15;8;10;13;14;13;13
Attraction3;Park1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;3;2;1;2;2;2;2;1;2;3;2;2;3;2;3;2;3;2;2;2;2;2;2;2;1;2;1;2;2;2;1;2;2;3;2;2;2;3;3;2;2;3;1;3;2;3;4;3;2;2;3;3;3;2;3;3;3;3;3;4;2;3;3;3;3;3;2;3;4;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1
Attraction4;Park1;1;1;1;1;1;1;2;2;1;2;1;1;1;2;1;1;2;2;1;2;1;2;1;1;2;2;2;2;2;1;2;2;1;2;1;2;3;2;2;2;1;2;2;1;1;2;1;2;2;2;2;1;3;2;2;1;3;2;3;2;3;2;2;2;2;3;4;2;2;2;3;2;3;2;2;4;4;2;2;3;2;2;2;3;4;2;2;2;3;3;3;3;3;4;3;2;1;2;1;3;2;2;3;1;2;2;2;2;2;2;1;2;1;3;2;2;2;2;2;2
Attraction5;Park1;2;2;2;2;3;3;3;3;3;3;3;2;3;3;4;3;5;4;4;4;4;4;3;3;3;5;3;5;5;6;5;3;3;4;3;4;4;5;5;3;3;5;3;5;4;3;3;4;5;5;6;4;6;6;4;6;4;6;4;3;5;4;6;6;4;4;6;5;5;5;4;5;4;5;5;5;4;6;6;6;4;6;5;6;4;5;6;6;4;5;5;6;4;5;5;5;6;5;5;4;4;6;6;5;6;4;3;7;5;4;5;5;5;4;4;3;3;4;5;5
Attraction6;Park1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;1;2;2;1;2;2;3;1;2;1;2;2;2;2;2;1;3;1;3;2;2;2;2;2;2;3;2;2;2;3;2;2;3;2;2;2;2;2;3;2;3;2;2;3;3;4;3;2;2;4;3;3;2;2;2;2;2;3;3;2;2;2;3;3;3;2;3;1;3;2;2;2;2;2;3;2;2;2;2;1;2;1;2;1;1;1;1;2;1;2
Attraction7;Park1;4;5;5;4;4;6;5;3;4;3;3;5;6;6;5;7;5;6;5;5;8;8;9;5;8;7;8;8;10;5;5;6;9;6;5;7;5;8;7;7;5;10;9;7;8;8;8;7;10;13;12;7;12;10;11;9;12;9;12;7;14;7;12;14;10;11;13;8;10;11;14;9;8;9;13;10;11;8;14;11;9;14;8;13;9;8;13;8;8;8;10;12;8;11;11;10;7;10;10;11;9;7;8;6;10;7;7;9;11;8;7;6;7;7;11;6;9;7;10;11
Attraction8;Park1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;2;1;2;1;2;1;1;1;2;2;2;1;2;2;2;2;3;1;2;3;3;2;2;2;2;2;2;2;2;1;1;1;2;2;2;3;2;2;1;2;2;2;2;2;2;2;2;2;3;3;3;2;2;3;3;3;2;3;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;3;3;2;3;3;1;3;2;1;2;2;2;2;3;2;2;2;2;2;2;1;2;3;2;2;1;2;2;2;2;2
Attraction9;Park1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;1;1;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;3;3;1;2;1;2;1;3;2;3;2;3;2;3;2;3;2;2;2;2;3;2;3;3;2;4;3;3;2;2;2;2;3;2;3;3;2;2;3;3;3;3;3;2;2;3;3;2;3;2;2;2;3;3;2;2;2;2;2;3;3;2;2;3;2;2;3;1;2;2;1;1;1;2;2;2;2;1;1
Attraction10;Park1;10;8;8;7;7;7;11;10;7;11;10;7;10;10;12;12;14;10;15;12;10;15;17;13;10;12;11;17;16;13;10;13;12;17;16;15;18;15;18;15;13;13;12;16;17;12;12;12;10;13;15;15;19;17;19;17;11;19;13;14;12;13;16;13;13;19;17;20;11;15;19;15;23;23;17;21;13;17;22;17;21;16;17;14;14;13;21;15;22;15;16;22;13;13;16;17;21;16;18;17;18;17;17;13;20;16;12;15;14;18;12;19;14;12;11;13;14;18;19;18
