AttractionName;Park;10:00;10:05;10:10;10:15;10:20;10:25;10:30;10:35;10:40;10:45;10:50;10:55;11:00;11:05;11:10;11:15;11:20;11:25;11:30;11:35;11:40;11:45;11:50;11:55;12:00;12:05;12:10;12:15;12:20;12:25;12:30;12:35;12:40;12:45;12:50;12:55;13:00;13:05;13:10;13:15;13:20;13:25;13:30;13:35;13:40;13:45;13:50;13:55;14:00;14:05;14:10;14:15;14:20;14:25;14:30;14:35;14:40;14:45;14:50;14:55;15:00;15:05;15:10;15:15;15:20;15:25;15:30;15:35;15:40;15:45;15:50;15:55;16:00;16:05;16:10;16:15;16:20;16:25;16:30;16:35;16:40;16:45;16:50;16:55;17:00;17:05;17:10;17:15;17:20;17:25;17:30;17:35;17:40;17:45;17:50;17:55;18:00;18:05;18:10;18:15;18:20;18:25;18:30;18:35;18:40;18:45;18:50;18:55;19:00;19:05;19:10;19:15;19:20;19:25;19:30;19:35;19:40;19:45;19:50;19:55
Attraction1;Park1;20;18;16;21;20;26;19;18;27;24;20;15;25;30;30;39;25;25;35;37;34;26;35;24;40;34;36;26;36;40;39;31;26;44;39;29;27;34;27;32;29;26;44;40;38;31;39;28;37;31;37;36;48;49;34;41;35;28;38;28;46;34;59;49;48;50;58;54;46;40;32;47;35;44;50;27;27;42;46;39;29;46;39;50;40;49;50;34;49;48;41;44;41;60;37;48;50;33;31;30;41;46;52;34;37;33;42;32;40;36;42;47;39;37;30;32;41;47;29;37
Attraction2;Park1;3;3;5;4;4;5;6;5;3;3;4;5;9;8;7;8;9;7;7;8;8;5;8;5;10;10;9;7;7;11;8;6;10;8;7;6;10;6;6;10;6;10;8;9;8;9;7;10;9;9;8;9;8;8;10;9;6;7;8;9;10;8;10;7;6;8;6;7;7;8;8;7;7;11;10;11;7;10;13;11;13;12;10;10;10;12;7;13;8;9;11;12;8;8;9;10;7;7;8;10;10;6;8;8;9;10;8;8;6;7;5;5;6;6;9;7;5;6;5;7
Attraction3;Park1;4;4;4;5;5;6;4;6;6;5;6;6;7;6;7;7;6;6;6;5;7;4;5;7;8;6;9;7;8;6;5;5;7;5;5;9;7;7;5;10;6;9;8;8;7;7;9;6;9;8;6;10;9;8;6;9;9;9;6;8;13;8;11;7;12;8;8;11;10;10;12;12;12;10;11;10;12;11;10;9;8;9;7;8;9;10;9;8;12;12;13;13;9;10;12;12;8;7;7;6;7;6;7;8;7;5;7;7;9;9;7;9;9;8;8;7;5;8;7;9
Attraction4;Park1;12;10;12;9;13;11;7;7;7;11;8;11;9;15;9;9;12;10;16;9;14;14;9;15;13;18;19;16;13;18;12;18;13;12;15;18;17;10;17;12;10;16;14;17;11;12;16;17;20;18;19;17;11;20;20;14;14;20;12;14;13;21;19;17;20;19;13;18;21;18;23;19;14;20;19;16;16;19;19;15;17;18;14;15;16;20;18;16;22;19;16;19;13;17;18;19;15;17;12;20;16;16;17;13;19;12;18;15;11;16;18;14;20;19;14;11;15;19;13;18
Attraction5;Park1;4;5;6;5;5;6;3;3;5;4;5;5;5;7;5;6;9;8;7;9;6;7;7;7;6;8;6;8;7;4;8;6;6;7;7;8;8;7;6;5;9;6;7;7;5;8;8;5;7;8;9;9;9;10;10;10;9;12;7;11;8;11;10;9;6;6;11;6;9;9;8;8;8;12;12;11;9;11;8;9;7;8;7;11;6;11;7;11;6;8;8;8;7;10;11;9;8;7;8;10;6;10;6;8;6;10;10;10;4;5;7;8;5;6;5;8;9;6;7;5
Attraction6;Park1;18;12;19;16;14;16;18;14;18;10;14;18;26;26;19;16;21;29;18;18;20;28;25;27;29;22;20;27;21;22;24;21;21;29;33;25;32;29;33;21;30;22;30;32;25;24;32;24;34;24;24;24;27;30;42;26;36;35;43;43;29;29;40;27;37;40;25;43;26;34;29;44;38;39;35;32;31;31;46;44;27;26;35;31;37;37;32;27;41;33;43;35;32;26;40;27;24;37;34;22;24;25;32;33;25;33;33;21;31;23;21;34;24;24;30;30;33;36;33;26
Attraction7;Park1;6;5;5;4;4;4;6;6;5;4;4;4;8;5;4;6;6;6;4;6;6;5;6;6;7;6;10;6;10;7;5;7;6;7;9;9;8;8;5;9;6;5;5;9;8;6;6;8;7;7;8;8;8;6;10;6;10;7;10;10;11;7;7;7;12;12;8;10;8;9;9;8;7;8;8;8;11;8;11;6;8;8;8;9;6;8;10;10;7;9;10;9;9;10;9;7;6;6;6;10;8;10;9;6;8;9;6;9;6;8;6;10;6;9;5;6;7;6;9;5
Attraction8;Park1;4;5;5;5;3;6;5;4;3;5;5;5;7;6;5;6;7;6;7;9;6;5;7;8;5;7;6;9;6;8;6;6;8;5;9;9;6;9;7;9;9;7;8;5;8;10;6;5;6;11;11;10;8;6;8;7;7;11;10;9;11;8;11;8;11;9;12;12;13;10;12;8;10;12;7;10;11;12;10;8;7;7;11;9;9;11;8;9;7;8;9;8;12;8;8;9;10;9;10;10;8;8;11;8;10;9;11;6;6;9;5;7;5;7;9;9;7;5;8;8
Attraction9;Park1;27;30;36;32;36;39;24;38;26;39;22;25;41;33;47;38;39;34;49;43;47;39;47;32;37;54;43;54;55;33;33;42;54;44;55;42;57;52;58;35;48;40;63;55;47;41;58;63;35;37;36;42;57;36;61;46;50;44;56;57;43;59;52;46;47;54;55;52;68;54;58;47;57;67;71;45;78;63;75;68;51;51;76;65;59;74;46;47;46;74;62;57;61;47;43;56;66;48;69;52;60;39;41;46;64;71;60;41;42;48;48;43;50;47;33;47;42;59;46;40
Attraction10;Park1;33;36;31;28;37;21;38;29;26;30;35;25;30;43;45;28;46;39;47;49;38;37;28;44;52;54;52;33;52;34;58;40;44;51;61;50;50;38;51;39;37;34;42;53;47;43;57;43;48;43;53;56;61;38;43;47;51;35;45;47;43;69;58;71;54;53;47;45;64;48;65;52;71;40;45;65;39;61;60;39;55;70;69;58;69;70;46;62;72;55;46;71;70;45;77;52;53;56;47;66;45;47;52;47;50;54;43;60;31;45;43;34;31;43;54;43;36;31;55;42
Attraction11;Park1;12;11;10;8;10;9;8;12;12;11;7;10;13;11;12;18;14;12;13;15;18;10;16;16;17;16;14;15;14;10;17;11;13;16;13;17;15;18;19;17;17;15;14;13;18;14;18;11;20;14;14;12;18;12;14;19;15;18;20;17;26;15;15;23;23;20;24;17;24;20;14;22;17;18;15;20;15;23;20;20;14;17;22;17;14;12;22;19;15;19;17;20;12;18;16;16;12;20;21;18;11;16;16;16;15;12;14;14;13;15;14;22;15;18;15;20;17;21;18;21
