AttractionName;Park;10:00;10:05;10:10;10:15;10:20;10:25;10:30;10:35;10:40;10:45;10:50;10:55;11:00;11:05;11:10;11:15;11:20;11:25;11:30;11:35;11:40;11:45;11:50;11:55;12:00;12:05;12:10;12:15;12:20;12:25;12:30;12:35;12:40;12:45;12:50;12:55;13:00;13:05;13:10;13:15;13:20;13:25;13:30;13:35;13:40;13:45;13:50;13:55;14:00;14:05;14:10;14:15;14:20;14:25;14:30;14:35;14:40;14:45;14:50;14:55;15:00;15:05;15:10;15:15;15:20;15:25;15:30;15:35;15:40;15:45;15:50;15:55;16:00;16:05;16:10;16:15;16:20;16:25;16:30;16:35;16:40;16:45;16:50;16:55;17:00;17:05;17:10;17:15;17:20;17:25;17:30;17:35;17:40;17:45;17:50;17:55;18:00;18:05;18:10;18:15;18:20;18:25;18:30;18:35;18:40;18:45;18:50;18:55;19:00;19:05;19:10;19:15;19:20;19:25;19:30;19:35;19:40;19:45;19:50;19:55
Attraction1;Park1;28;43;29;31;41;38;36;26;37;36;33;38;50;34;42;52;55;53;53;47;43;35;41;43;38;44;40;53;58;44;54;66;58;61;58;65;68;53;57;52;42;64;51;54;61;54;51;71;64;78;48;69;46;76;77;71;76;45;77;71;69;86;68;63;50;72;77;68;54;73;49;54;55;53;55;65;63;67;74;64;77;79;52;72;51;90;72;76;68;91;52;57;71;53;82;77;50;56;53;66;70;57;79;72;74;77;52;72;45;45;52;50;42;61;44;69;67;74;76;44
Attraction2;Park1;6;7;8;6;7;9;9;5;7;6;5;5;13;10;8;10;10;8;13;10;12;12;9;11;11;12;11;12;15;10;10;9;16;13;13;16;14;12;10;9;12;14;9;10;14;14;14;16;11;8;14;10;12;10;14;14;10;9;16;10;12;14;10;12;12;11;17;13;17;11;9;13;12;11;16;15;20;18;14;17;14;19;14;19;19;15;12;11;15;13;14;19;14;17;13;14;13;9;10;12;12;11;11;11;9;10;11;12;11;11;12;8;9;8;8;10;11;8;12;11
Attraction3;Park1;7;7;9;8;9;6;8;7;10;6;9;9;8;11;11;10;7;9;10;9;7;9;10;10;13;10;15;14;12;9;12;8;10;15;11;11;15;13;14;8;15;15;9;14;12;14;9;12;9;15;15;15;16;15;14;15;13;15;14;16;15;11;13;19;17;11;20;15;17;18;13;15;19;11;13;15;18;20;15;20;18;12;14;16;17;15;15;14;16;15;15;17;12;17;20;16;11;9;10;12;15;12;12;14;12;9;14;11;11;11;10;8;9;15;10;14;15;13;9;13
Attraction4;Park1;17;15;16;12;15;18;11;19;14;13;17;15;22;16;20;18;19;14;20;20;24;24;19;18;30;27;28;27;21;19;20;27;21;25;29;30;17;21;16;15;24;19;22;23;17;26;21;23;25;19;33;20;31;28;30;33;27;29;25;25;30;30;23;30;28;21;25;32;26;21;26;25;33;32;24;21;24;22;25;20;30;27;26;20;28;29;34;29;22;29;29;20;28;28;19;29;34;34;26;23;27;25;32;30;25;22;25;27;22;21;18;23;22;18;20;23;27;20;28;28
Attraction5;Park1;9;8;6;7;8;9;8;5;8;7;9;5;10;14;14;8;9;9;13;14;13;10;9;10;9;12;10;10;11;10;11;12;9;7;13;13;11;10;13;12;12;8;9;14;8;9;13;11;12;10;11;11;13;12;18;14;15;17;10;18;13;14;10;17;13;15;13;13;11;18;14;17;20;21;15;18;17;13;11;13;13;14;17;19;17;13;12;14;14;14;17;16;15;15;9;14;15;9;15;14;9;16;16;10;11;16;15;11;11;7;9;10;12;7;10;9;12;11;8;13
Attraction6;Park1;26;22;23;22;25;20;24;21;25;19;26;23;28;43;34;37;39;34;29;37;30;25;35;32;31;37;46;36;30;51;34;29;46;36;33;32;42;28;32;41;37;44;33;49;46;45;37;39;43;50;40;44;36;43;54;62;50;47;55;51;56;40;44;61;66;48;46;60;39;57;40;60;71;48;66;57;63;60;43;51;60;56;47;53;40;64;57;46;64;36;58;39;38;42;54;59;36;38;36;48;38;35;32;52;46;39;32;36;54;45;57;44;35;35;51;31;32;42;44;52
Attraction7;Park1;8;10;8;7;6;7;6;7;8;9;5;5;12;11;11;11;9;10;9;8;8;12;8;11;12;9;13;13;9;11;9;9;12;15;12;10;9;15;13;12;10;10;14;15;10;9;8;11;11;11;10;15;9;12;15;12;13;15;10;15;18;11;19;17;19;11;14;13;13;17;17;16;10;11;10;13;16;11;9;13;17;12;13;11;11;10;16;13;17;15;15;16;10;16;11;11;9;11;12;10;16;9;13;13;12;12;11;11;11;13;11;15;15;10;11;12;11;14;15;14
Attraction8;Park1;9;7;7;8;6;8;8;6;9;9;6;7;11;12;10;8;9;8;10;8;12;12;12;10;14;15;15;11;12;10;13;9;8;15;11;13;13;11;13;15;11;9;9;13;9;16;12;14;9;15;14;9;12;12;16;18;12;14;12;18;18;17;17;19;17;18;17;15;12;18;12;17;14;15;11;19;14;17;17;12;19;18;18;17;15;14;10;18;18;11;13;16;12;10;12;16;11;17;16;17;18;10;17;17;10;14;14;17;10;13;13;13;13;10;12;11;11;8;9;11
Attraction9;Park1;33;45;34;36;44;60;35;50;49;44;56;57;50;49;52;83;54;66;51;87;50;77;54;56;54;79;90;71;53;51;74;68;72;71;79;66;98;87;69;55;79;76;97;83;75;72;92;63;89;81;85;64;55;78;82;59;94;56;67;92;95;70;76;65;66;87;104;86;70;63;71;91;82;94;107;98;70;83;85;74;79;111;111;91;75;107;105;84;113;67;103;112;109;111;81;79;79;74;68;75;72;82;61;99;87;87;70;92;60;67;83;73;55;73;78;55;55;91;64;74
Attraction10;Park1;57;57;53;49;33;54;41;55;33;54;32;35;70;46;43;65;74;41;71;52;54;50;61;42;62;72;79;63;93;91;64;56;69;71;52;77;81;88;69;56;69;61;63;70;73;71;92;84;63;86;54;79;63;77;68;55;75;94;60;63;63;70;88;95;82;100;82;87;90;100;97;89;104;95;96;70;94;69;107;64;91;91;77;73;118;112;76;70;118;96;107;91;99;104;89;105;82;102;79;99;75;75;66;68;78;64;97;69;59;85;66;48;59;70;57;68;53;78;86;86
