AttractionName;Park;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00
Attraction1;Park1;17,49;21,54;28,56;30,37;31,26;37,25;31,78;38,79;31,95;31,16
Attraction2;Park1;3,5;5,04;5,9;6,09;5,98;5,69;7,89;8,43;5,96;5,12
Attraction3;Park1;3,3;3,87;5,44;6,27;5,92;7,16;7,8;8,02;5,94;5,26
Attraction4;Park1;7,38;10,03;11,54;10,21;13,58;12,36;15,03;13,68;13,16;11,31
Attraction5;Park1;2,9;5,55;5,07;5,14;7,25;6,05;7,56;6,53;5,52;4,74
Attraction6;Park1;11,49;18,74;20,95;20,89;26,6;30,78;29,87;26,6;23,74;20,89
Attraction7;Park1;3,36;3,75;5,65;5,46;5,65;6,77;5,49;6,05;5,94;6
Attraction8;Park1;3,1;4,58;5,25;5,38;5,79;7,39;6,93;6,28;6,99;5,27
Attraction9;Park1;21,25;36,71;37,25;37,27;40,29;38,7;46,72;43,36;39,13;37,46
Attraction10;Park1;23,9;30,63;37,13;41,52;40,36;44,04;40,75;50,15;45,58;34,81
Attraction11;Park1;8,22;10,96;11,38;11,36;12,05;14,36;13,57;13,76;12,64;12,26
Attraction12;Park1;2,87;4,27;5,53;5,42;5,74;6,67;6,61;6,66;5,21;6,26
Attraction13;Park1;23,09;34,09;37,42;31,19;38,47;51,06;50,76;41,78;45,9;35,02
Attraction14;Park1;16,1;22,56;26,05;24,4;29,21;32,23;33;34,23;26,51;28,23
Attraction15;Park1;19,58;30,42;34,62;34,59;45,35;56,19;42,32;42,96;42,06;32,72
Attraction16;Park1;3,02;4,29;5,11;5,6;5,99;7,69;6,88;6,91;6,29;6,41
Attraction17;Park1;16,1;22,87;29,54;26,95;28,59;31,4;29,38;38,78;27,74;23,8
Attraction18;Park1;2,28;5,3;5,65;5,71;6,49;6,71;6,55;6,92;6,37;6,18
Attraction19;Park1;2,97;5,26;4,72;5,19;5,9;6,86;6,14;7,2;6,18;4,93
Attraction20;Park1;3,52;4,01;3,89;4,71;6,38;7,4;6,15;6,56;6,16;4,99
Attraction21;Park1;3,1;4,58;5,18;5,43;5,22;7,37;6,7;6,89;5,35;4,83
Attraction22;Park1;3,25;4,19;5,92;6,42;5,68;7,79;7,29;7,35;5,21;4,92
Attraction23;Park1;3;4,9;5,05;6,21;6,28;6,31;6,84;6,88;7,07;5,24
Attraction24;Park1;10,66;17,8;22,25;19,53;21,58;27,09;23,82;24,77;21,37;21,45
Attraction25;Park1;12,85;17,91;21,24;21,34;20,75;26,15;25,94;25,43;25,9;20,82
Attraction26;Park1;21,85;34,22;38,36;39,55;41,09;48,64;41,74;42,89;36,03;41,58
Attraction27;Park1;15,63;25,44;27,73;28,94;33,21;33,55;35,34;36,42;26,02;27,49
Attraction28;Park1;23,54;35,51;37,84;40,14;38,57;40,36;46,68;43,09;39,26;35,34
Attraction29;Park1;11,04;18,74;22,82;20,28;25,12;23,01;30,12;25,83;23,81;22,44
Attraction30;Park1;15,63;25,08;27,71;29,43;33,44;38,68;32,02;33,9;31,6;26,29
Attraction31;Park1;2,58;4,84;6,07;5,32;6,73;7,11;6,82;6,04;6,78;5,14
Attraction32;Park1;16,2;20,32;28,53;29,31;30,43;33,95;33,78;33,03;32,85;24,96
Attraction33;Park1;16,52;24,39;28,3;29,73;30,52;38,01;33,19;34,52;32,48;27,73
Attraction34;Park1;3,32;5,19;5,63;4,17;6,7;6,15;7,16;7,11;5,54;4,97
Attraction35;Park1;18,05;23,71;25,03;27,83;29,86;38,93;38,19;30,95;31,81;28,06
Attraction36;Park1;5,91;9,55;11,84;10,61;12,64;14,51;14,63;14,98;13,39;13,08
Attraction37;Park1;7,39;9,29;10,77;14,03;14,29;15,96;14,37;14,28;13,75;11,58
Attraction38;Park1;14,54;18,24;20,7;24,39;23,99;29,24;25,95;21,3;22,88;20,96
Attraction39;Park2;7,29;10,64;11,04;11,86;14,6;13,97;15,78;0;0;0
Attraction40;Park2;3,01;4,99;5,38;5,11;6,86;6,42;5,95;0;0;0
Attraction41;Park2;2,92;4,44;5,88;5,73;6,55;6,46;5,89;0;0;0
Attraction42;Park2;3,13;5,39;6,05;5,62;5,64;7,02;6,45;0;0;0
Attraction43;Park2;2,78;4;5,47;6,46;6,18;6,69;6,21;0;0;0
Attraction44;Park2;7,46;8,87;10,89;10,76;11,55;13,97;17,15;0;0;0
Attraction45;Park2;6,96;12,24;12,45;12,72;12,54;13,68;14,4;0;0;0
Attraction46;Park2;12,21;15,83;19,16;24,61;22,25;25,67;28,56;0;0;0
Attraction47;Park2;6,51;8,47;11,67;10,9;15,78;17,4;14,71;0;0;0
Attraction48;Park2;21,34;27,22;34,17;37,71;37,01;45,09;50,16;0;0;0
Attraction49;Park2;16,3;22,88;23,94;28,71;27,78;31,68;29,03;0;0;0
Attraction50;Park2;12,54;18,51;20,06;19,44;26,27;24,85;24,7;0;0;0
